Category,Recipient Name,Project Purpose,Project Location,Amount Requested ($000),senator,category,recipient_name,project_purpose,project_location,amount_requested_000
Agriculture,"Bedford County, Virginia","Funding will be used to renovate an existing building into a community center in Bedford County, Virginia.",Bedford County VA,1000.0,Tim Kaine,,,,,
Agriculture,Bedford Area Family,"Young Men's Christian Association (YMCA) Funding will be used to construct a teaching kitchen at the Bedford YMCA in Bedford County, Virginia.",Bedford County VA,294.0,Tim Kaine,,,,,
Agriculture,"Town of Grundy, Virginia","Funding will be used to purchase a new fire truck to support emergency response in the Town of Grundy, Virginia.",Buchanan County VA,310.0,Tim Kaine,,,,,
Agriculture,Theatre Guild of Buchanan,"County, Inc. Funding will be used to make improvements to the Community Arts Mainstage in Buchanan County, Virginia.",Buchanan County VA,174.0,Tim Kaine,,,,,
Agriculture,"Town of Grundy, Virginia","Funding will be used to purchase a patrol vehicle to serve the community of Buchanan County, Virginia.",Buchanan County VA,48.0,Tim Kaine,,,,,
Agriculture,"City of Bristol, Virginia","Funding will be used to purchase new municipal support vehicles for the City of Bristol, Virginia.",City of Bristol VA,572.0,Tim Kaine,,,,,
Agriculture,Virginia Museum of,"Natural History Funding will be used by the Virginia Museum of Natural History to establish a Young Explorer Center in the City of Martinsville, Virginia.",City of Martinsville VA,384.0,Tim Kaine,,,,,
Agriculture,"The Family YMCA,","Incorporated Funding will be used to construct a new YMCA in the City of Martinsville, Virginia.",City of Martinsville VA,2000.0,Tim Kaine,,,,,
Agriculture,"Town of Clintwood,","Virginia Funding will be used to purchase a replacement marquee for the Jettie Baker Center and a bucket truck to serve the community of Dickenson County, Virginia.",Dickenson County VA,196.0,Tim Kaine,,,,,
Agriculture,"Isle of Wight County,","Virginia Funding will be used to expand and renovate a fire department in Isle of Wight County, Virginia. Isle of Wight County",VA,1000.0,Tim Kaine,,,,,
Agriculture,"Northampton County,","Virginia Funding will be used to replace and upgrade the septic system in a building that is being converted into a community center in Northampton County, Virginia. Northampton County",VA,1000.0,Tim Kaine,,,,,
Agriculture,Eastern Shore Area,"Agency on Aging/Community Action Agency Funding will be used to rehabilitate the Eastern Shore Area Agency on Aging/Community Action Agency facility to support local seniors, children, and families. Northampton County",VA,1329.0,Tim Kaine,,,,,
