"First Name","Last Name","District #","Cities & Counties Represented",Party,"Capitol Address"
"Bonita G.",Anthony,92nd,"Cities of Chesapeake (part) and Norfolk (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Jonathan E.",Arnold,46th,"Counties of Grayson, Pulaski (part), Smyth, and Wythe",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Alex Q.",Askew,95th,"Cities of Norfolk (part) and Virginia Beach (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Terry L.",Austin,37th,"Counties of Alleghany, Botetourt , Craig, and Rockbridge (part); Cities of Buena Visa, Covington, and Lexington",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Jason S.",Ballard,42nd,"Counties of Giles, Montgomery (part), and Pulaski (part); City of Radford",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Amanda E.",Batten,71st,"Counties of James City (part) and New Kent (part); City of Williamsburg",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Elizabeth B.",Bennett-Parker,5th,"City of Alexandria (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Robert S.","Bloxom Jr.",100th,"Counties of Accomack and Northampton; City of Virginia Beach (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"David L.",Bulova,11th,"County of Fairfax (part); City of Fairfax",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Katrina E.",Callsen,54th,"County of Albemarle (part); City of Charlottesville",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Ellen H.",Campbell,36th,"Counties of Augusta (part) and Rockbridge (part); Cities of Staunton and Waynesboro",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Betsy B.",Carr,78th,"City of Richmond (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Mike A.",Cherry,74th,"County of Chesterfield (part); City of Colonial Heights",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Nadarius E.",Clark,84th,"Isle of Wight (part); Cities of Franklin and Suffolk (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Laura Jane",Cohen,15th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Joshua G.",Cole,65th,"Counties of Spotsylvania (part) and Stafford (part); City of Fredericksburg",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Kelly K.",Convirs-Fowler,96th,"City of Virginia Beach (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
A.C.,Cordoza,86th,"County of York (part); Cities of Hampton (part) and Poquoson",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Rae C.",Cousins,79th,"City of Richmond (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Carrie E.",Coyner,75th,"Counties of Chesterfield (part) and Prince George (part); City of Hopewell",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Will P.",Davis,39th,"Counties of Franklin and Roanoke (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Karrie K.",Delaney,9th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Mark L.","Earley Jr.",73rd,"County of Chesterfield (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"N. Baxter",Ennis,89th,"Cities of Chesapeake (part) and Suffolk (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Michael,Feggans,97th,"City of Virginia Beach (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Hyland F. (Buddy)","Fowler Jr.",59th,"Counties of Hanover (part), Henrico (part), and Louisa (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Nicholas J.",Freitas,62nd,"Counties of Culpeper (part), Greene, Madison, and Orange (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Debra D.",Gardner,76th,"County of Chesterfield (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Thomas A.","Garrett Jr.",56th,"Counties of Appomattox, Buckingham, Cumberland, Fluvanna (part), Goochland (part), Louisa (part), and Prince Edward (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Jackie Hope",Glass,93rd,"City of Norfolk (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"W. Chad","Green Sr.",69th,"Counties of Gloucester (part), James City (part), and York (part); City of Newport News (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Timothy P.",Griffin,53rd,"Counties of Amherst, Bedford (part), and Nelson (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"C. E. (Cliff)","Hayes Jr.",91st,"Cities of Chesapeake (part) and Portsmouth (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Dan,Helmer,10th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Rozia A.","Henson Jr.",19th,"Counties of Fairfax (part) and Prince William (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Phil M.",Hernandez,94th,"City of Norfolk (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Charniele L.",Herring,4th,"County of Fairfax (part); City of Alexandria (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Geary M.",Higgins,30th,"Counties of Fauquier (part) and Loudoun (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"M. Keith",Hodges,68th,"Counties of Essex, Gloucester (part), King and Queen, King William, Mathews, and Middlesex",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Patrick A.",Hope,1st,"County of Arlington (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Michael J.",Jones,77th,"County of Chesterfield (part); City of Richmond (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Hillary Pugh",Kent,67th,"Counties of Caroline (part), King George, Lancaster, Northumberland, Richmond, and Westmoreland",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Karen,Keys-Gamarra,7th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Terry G.",Kilgore,45th,"Counties of Dickenson (part), Lee, Scott, and Wise; City of Norton",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Barry D.",Knight,98th,"City of Virginia Beach (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Paul E.",Krizek,16th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Amy J.",Laufer,55th,"Counties of Albemarle (part), Fluvanna (part), Louisa (part), and Nelson (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"James A. (Jay)","Leftwich Jr.",90th,"City of Chesapeake (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Destiny L.","LeVere Bolling",80th,"County of Henrico (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Alfonso H.",Lopez,3rd,"County of Arlington (part); City of Alexandria (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Ian T.",Lovejoy,22nd,"County of Prince William (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Michelle Lopes",Maldonado,20th,"County of Prince William (part); Cities of Manassas and Manassas Park",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Daniel W.","Marshall III",49th,"Counties of Halifax (part) and Pittsylvania (part); City of Danville",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Fernando J.",Martinez,29th,"County of Loudoun (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Adele Y.",McClure,2nd,"County of Arlington (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Joseph P.",McNamara,40th,"County of Roanoke (part); Cities of Roanoke (part) and Salem",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Delores L.",McQuinn,81st,"Counties of Charles City, Chesterfield (part), and Henrico (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Paul V.","Milde III",64th,"County of Stafford (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"James W. (Will)",Morefield,43rd,"Counties of Bland, Buchanan, Dickenson (part), Russell (part), and Tazewell",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Candi,"Mundon King",23rd,"Counties of Prince William (part) and Stafford (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Delores,Oates,31st,"Counties of Clarke, Frederick (part), and Warren (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Chris,Obenshain,41st,"Counties of Montgomery (part) and Roanoke (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Israel D.",O'Quinn,44th,"Counties of Russell (part) and Washington; City of Bristol",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Robert D.","Orrock Sr.",66th,"Counties of Caroline (part) and Spotsylvania (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"David L.",Owen,57th,"Counties of Goochland (part) and Henrico (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Eric J.",Phillips,48th,"Counties of Henry (part) and Pittsylvania (part); City of Martinsville",R,
"Marcia S. (Cia)",Price,85th,"City of Newport News (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Sam,Rasoul,38th,"City of Roanoke (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Atoosa R.",Reaser,27th,"County of Loudoun (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"David A.",Reid,28th,"County of Loudoun (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Chris,Runion,35th,"Counties of Augusta (part), Bath, Highland, and Rockingham (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Don,Scott,88th,"City of Portsmouth (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Phillip A.",Scott,63rd,"Counties of Orange (part) and Spotsylvania (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Holly M.",Seibold,12th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Briana D.",Sewell,25th,"County of Prince William (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Irene,Shin,8th,"Fairfax County (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Mark D.",Sickles,17th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Marcus B.",Simon,13th,"County of Fairfax (part); City of Falls Church",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Shelly A.",Simonds,70th,"City of Newport News (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"J J",Singh,26th,"County of Loudoun (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Richard C. (Rip)","Sullivan Jr.",6th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Anne Ferrell H.",Tata,99th,"City of Virginia Beach (part)",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Kimberly A.",Taylor,82nd,"Counties of Dinwiddie (part), Prince George (part), and Surry; City of Petersburg",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Josh,Thomas,21st,"County of Prince William (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Luke E.",Torian,24th,"County of Prince William (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Kathy KL",Tran,18th,"County of Fairfax (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
Vacant,Vacant,33rd,"Counties of Page, Rockingham (part), Shenandoah, and Warren (part)"," "," "
"Howard Otto","Wachsmann Jr.",83rd,"Counties of Brunswick, Dinwiddie (part), Greensville, Isle of Wight (part), Southampton, and Sussex; City of Emporia",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Wendell S.",Walker,52nd,"County of Campbell (part); City of Lynchburg",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"Jeion A.",Ward,87th,"City of Hampton (part)",D,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
"R. Lee",Ware,72nd,"Counties of Amelia, Chesterfield (part), Nottoway, and Powhatan",R,"General Assembly Building 201 North 9th Street, ","Richmond, Virginia 23219"
