"Amendment #",Patron,Department,Agency,Description,"GF Dollars FY2025","GF Dollars FY2026","NGF Dollars FY2025","NGF Dollars FY2026"," GF Positions FY2025"," GF Positions FY2026"," NGF Positions FY2025"," NGF Positions FY2026","Language",Explanation,
124 #25h,"Anthony","Education: Elementary and Secondary","Direct Aid to Public Education","Virginia Symphony Orchestra","","$300,000",,,,,,,"Page 154, after line 7, insert:'Virginia Symphony Orchestra $0 $300,000'.Page 165, after line 26, insert:'GGG. Out of this appropriation, $300,000 the second year from the general fund is provided to the Virginia Symphony Orchestra to provide supplemental music education programs aligned with the Standards of Learning for fourteen school divisions in Southeast Virginia.' ","<p>(This amendment is self-explanatory.)</p>",
163 #2h,"Anthony","Education: Higher Education","Norfolk State University","NSU - Environmental Justice Incubator","","$1,500,000",,,,,,,"","<p>(This amendment requests funding for a three-year study to address the long-term environmental harm caused by highways like I-95, I-64, I-264 and I-464, which were built through historically Black communities in Norfolk, Portsmouth, and Richmond.)</p>",
292 #6h,"Anthony","Health and Human Resources","Department of Medical Assistance Services","HB 2662: Medicaid Billing Oversight Task Force","","$450,000","","$450,000","","2.00","","2.00","Page 402, after line 29, insert:'MM. Out of this appropriation, $125,000 from the general fund and $125,000 from nongeneral funds the second year and four positions is provided to the Department of Medical Assistance Services to implement provisions of House Bill 2662 that  establishes a Medicaid Billing Oversight Task Force.' ","<p>(This amendment adds $125,000 from the general fund and $125,000 from nongeneral funds in fiscal year 2026 for the fiscal impact of House Bill 2662, which establishes a Hospital Oversight Fund, Independent Credentialing Review Board, and Medicaid Billing Oversight Task Force to fund and carry out oversight of credentialing, for health care providers and Medicaid billing.)</p>",
441 #2h,"Anthony","Transportation","Department of Transportation","Exempt Hampton Roads Transit Vehicles from ERC Charged Tolls ","","$200,000",,,,,,,"Page 553, after line 44, insert:'E. Out of this appropriation, $200,000 the second year from the general fund is provided to fund an exempt or reduce tolls charged by the Elizabeth Rivers Crossing Opco, LLC. for Hampton Roads Transit buses.' ","<p>(This amendment provides $200,000 general fund in fiscal year 2026 to provide toll relief for transit buses when traveling through the tunnel crossings between Norfolk and Portsmouth.)</p>",
3-5.05 #1h,"Anthony","Adjustments and Modifications to Tax Collections","Disposition of Excess Fees Collected by Clerks of the Circuit Courts","Strike Language Regarding Circuit Court Clerks Excess Fees",,,,,,,,,"Page 659, strike lines 2 through 5. ","<p>(This amendment strikes language in the budget which overwrites the Code regarding the distribution of excess fees collected by circuit court clerks. Currently the state keeps 2/3s, while the Code states the state would retain 1/3. Adopting this language would reduce resources by an estimated $9.5 million in fiscal year 2026.)</p>",
102 #13h,"Arnold","Commerce and Trade","Department of Housing and Community Development","Rugby Volunteer Rescue Squad - Building Replacement Damaged by Hurricane Helene","","$2,000,000",,,,,,,"Page 111, after line 47, insert: 'R. Out of this appropriation, $2,000,000 the second year from the general fund is provided to Grayson County to replace the Rugby Volunteer Rescue Squad's building.' ","<p>(This amendment provides $2.0 million to Grayson County to replace the Rugby Volunteer Rescue Squad's building, which was significantly damaged during Hurricane Helene.) </p>",
371 #11h,"Arnold","Natural and Historic Resources","Department of Historic Resources","Octagon House","","$2,000,000",,,,,,,"Page 487, after line 47, insert:'EE. Out of the amounts in this item, $2,000,000 the second year from the general fund is provided to the County of Smyth to support capital improvements at the Octagon House.' ","<p>(This amendment provides $2.0 million from the general fund in fiscal year 2026 to support capital improvements to enhance the visitor experience at the Octagon House in Smyth County.)</p>",
390 #17h,"Arnold","Public Safety and Homeland Security","Department of Corrections","HB 1848 - Mandatory Minimum Sentences for Second or Subsequent Drug Possession","","$4,356,234",,,,,,,"Page 503, after line 8, insert:'14. House Bill 1848 -- $4,356,234'. ","<p>(This amendment provides $4.4 million from the general fund in fiscal year 2026 for deposit in the Corrections Special Reserve Fund to reflect the estimated bedspace utilization impact of House Bill 1848.)</p>",
C-48 #4h,"Arnold","Central Appropriations","Central Capital Outlay","DWR: Upgrade the Aquatic Wildlife Conservation Center- Planning","","$927,790",,,,,,,"Page 632, line 30, after 'year', insert, 'and $927,790 the second year'.Page 633, line 29, after 'year', insert, 'and $927,790 the second year'.Page 633, after line 51, insert:'403       Department of Wildlife Resources       Upgrade the Aquatic Wildlife Conservation Center'. ","<p>(This amendment provides $927,790 the second year from the general fund to add a project to the planning pool for the Department of Wildlife Resources to upgrade the Aquatic Wildlife Conservation Center.)</p>",
103 #10h,"Askew","Commerce and Trade","Department of Housing and Community Development","Greenbox Foundation","","$75,000",,,,,,,"Page 121, after line 18, insert: 'AA. Out of this appropriation, $75,000 the second year from the general fund is provided to the City of Virginia Beach to replace or rehabilitate basketball courts  and for programming at College Day Park.' ","<p>(This amendment provides $75,000 to the City of Virginia Beach to replace or rehabilitate basketball courts and for programming at College Day Park targeted to underserved youth.)</p>",
