delegate_name,district,localities
"Bonita G. Anthony",92,""
"Jonathan E. Arnold",46,""
"Alex Q. Askew",95,""
"Terry L. Austin",37,""
"Jason S. Ballard",42,""
"Amanda E. Batten",71,""
"Elizabeth B. Bennett-Parker",5,""
"Robert S. Bloxom Jr.",100,""
"David L. Bulova",11,""
"Katrina E. Callsen",54,""
"Ellen H. Campbell",36,""
"Betsy B. Carr",78,""
"Mike A. Cherry",74,""
"Nadarius E. Clark",84,""
"Laura Jane Cohen",15,""
"Joshua G. Cole",65,""
"Kelly K. Convirs-Fowler",96,""
"A.C. Cordoza",86,""
"Rae C. Cousins",79,""
"Carrie E. Coyner",75,""
"Will P. Davis",39,""
"Karrie K. Delaney",9,""
"Mark L. Earley Jr.",73,""
"N. Baxter Ennis",89,""
"Michael Feggans",97,""
"Hyland F. (Buddy) Fowler Jr.",59,""
"Nicholas J. Freitas",62,""
"Debra D. Gardner",76,""
"Thomas A. Garrett Jr.",56,""
"Jackie Hope Glass",93,""
"W. Chad Green Sr.",69,""
"Timothy P. Griffin",53,""
"C. E. (Cliff) Hayes Jr.",91,""
"Dan Helmer",10,""
"Rozia A. Henson Jr.",19,""
"Phil M. Hernandez",94,""
"Charniele L. Herring",4,""
"Geary M. Higgins",30,""
"M. Keith Hodges",68,""
"Patrick A. Hope",1,""
"Michael J. Jones",77,""
"Hillary Pugh Kent",67,""
"Karen Keys-Gamarra",7,""
"Terry G. Kilgore",45,""
"Barry D. Knight",98,""
"Paul E. Krizek",16,""
"Amy J. Laufer",55,""
"James A. (Jay) Leftwich Jr.",90,""
"Destiny L. LeVere Bolling",80,""
"Alfonso H. Lopez",3,""
"Ian T. Lovejoy",22,""
"Michelle Lopes Maldonado",20,""
"Daniel W. Marshall III",49,""
"Fernando J. Martinez",29,""
"Adele Y. McClure",2,""
"Joseph P. McNamara",40,""
"Delores L. McQuinn",81,""
"Paul V. Milde III",64,""
"James W. (Will) Morefield",43,""
"Candi Mundon King",23,""
"Delores Oates",31,""
"Chris Obenshain",41,""
"Israel D. O'Quinn",44,""
"Robert D. Orrock Sr.",66,""
"David L. Owen",57,""
"Eric J. Phillips",48,""
"Marcia S. (Cia) Price",85,""
"Sam Rasoul",38,""
"Atoosa R. Reaser",27,""
"David A. Reid",28,""
"Chris Runion",35,""
"Don Scott",88,""
"Phillip A. Scott",63,""
"Holly M. Seibold",12,""
"Briana D. Sewell",25,""
"Irene Shin",8,""
"Mark D. Sickles",17,""
"Marcus B. Simon",13,""
"Shelly A. Simonds",70,""
"J J Singh",26,""
"Richard C. (Rip) Sullivan Jr.",6,""
"Anne Ferrell H. Tata",99,""
"Kimberly A. Taylor",82,""
"Josh Thomas",21,""
"Luke E. Torian",24,""
"Kathy KL Tran",18,""
"Vacant Vacant",33,""
"Howard Otto Wachsmann Jr.",83,""
"Wendell S. Walker",52,""
"Jeion A. Ward",87,""
"R. Lee Ware",72,""
"Vivian E. Watts",14,""
"Michael J. Webert",61,""
"William D. (Bill) Wiley",32,""
"Rodney T. Willett",58,""
"Wren M. Williams",47,""
"Tony O. Wilt",34,""
"Thomas C. Wright Jr.",50,""
"Scott A. Wyatt",60,""
"Eric Zehr",51,""
