sessionYear,patronName,amendmentCount,totalNetAmount,largestAmendment,smallestAmendment
2024,Hashmi,52,2482380286.0,1058000000.0,43000.0
2024,Cousins,14,1465480263.0,920000000.0,50000.0
2024,Carr,63,1430744341.0,435206877.0,50000.0
2024,Rasoul,32,1033669147.0,936300000.0,50000.0
2024,Delaney,12,986579951.0,936300000.0,50000.0
2024,Marsden,39,972111870.0,288700000.0,12070.0
2024,Salim,20,842501415.0,500000000.0,50000.0
2024,Lucas,9,786510665.0,759700000.0,50000.0
2024,Deeds,51,742804953.0,312000000.0,46500.0
2024,Cordoza,10,727349897.0,636200000.0,50000.0
2024,Aird,17,700329168.0,496300000.0,73331.0
2024,Clark,8,697869666.0,693600000.0,50000.0
2024,Milde,3,690781000.0,683600000.0,2000000.0
2024,Locke,41,671924865.0,251000000.0,50000.0
2024,McPike,10,606110212.0,595000000.0,50000.0
2024,Durant,4,604681000.0,595000000.0,2000000.0
2024,McQuinn,32,507030490.0,289600000.0,50000.0
2024,Bennett-Parker,13,464050260.0,173000000.0,5000.0
2024,Favola,43,451947826.0,202000000.0,30000.0
2024,Carroll Foy,17,420307712.0,202000000.0,50000.0
2024,Runion,7,385889000.0,365000000.0,125000.0
2024,Obenshain,12,385414505.0,365500000.0,50000.0
2024,Sickles,33,365302002.0,76455513.0,8500.0
2024,VanValkenburg,16,364663453.0,178934232.0,50000.0
2024,Boysko,30,339899901.0,121800000.0,50000.0
2024,Suetterlein,5,310982369.0,309400000.0,50000.0
2024,Rouse,4,309829968.0,307219343.0,260625.0
2024,Jones,5,304575000.0,289600000.0,100000.0
2024,Bulova,34,294161640.0,75000000.0,12070.0
2024,Surovell,13,287579069.0,250000000.0,100000.0
2024,Reid,19,270407815.0,202000000.0,25000.0
2024,Ebbin,17,258127215.0,149111860.0,25000.0
2024,Simonds,9,221715000.0,202000000.0,50000.0
2024,Hope,16,189728586.0,178934232.0,10000.0
2024,Head,9,186961359.0,178416121.0,94750.0
2024,Krizek,21,179547068.0,65000000.0,37540.0
2024,Roem,7,174901364.0,173000000.0,50000.0
2024,Coyner,26,170391092.0,48000000.0,50000.0
2024,Lopez,18,145368400.0,125000000.0,50000.0
2024,Morefield,9,140053416.0,74134639.0,650000.0
2024,McNamara,2,124300000.0,121800000.0,2500000.0
2024,Callsen,7,122497474.0,92000000.0,50000.0
2024,Hernandez,5,110575000.0,57900000.0,50000.0
2024,McClure,8,99752136.0,57900000.0,50000.0
2024,Feggans,8,95356690.0,63200000.0,50000.0
2024,Pillion,22,93792406.0,39684416.0,50000.0
2024,Watts,5,82524688.0,80000000.0,25000.0
2024,Perry,6,76716137.0,58000000.0,300212.0
2024,Maldonado,11,73858250.0,61300000.0,25000.0
2024,Reaser,4,58150000.0,58000000.0,50000.0
2024,Hayes,18,56121356.0,20956690.0,50000.0
2024,Mundon King,17,53375000.0,40000000.0,50000.0
2024,Willett,18,45620396.0,12000000.0,25000.0
2024,Martinez,5,45200000.0,45000000.0,50000.0
2024,Ward,11,41252893.0,25000000.0,50000.0
2024,Williams Graves,23,37500000.0,18200000.0,50000.0
2024,Jordan,8,35535388.0,11740313.0,8500.0
2024,Hodges,12,34817954.0,14500000.0,50000.0
2024,Tran,15,30418359.0,13900000.0,50000.0
2024,Hackworth,9,29288957.0,14030278.0,150000.0
2024,Price,19,29157375.0,20000000.0,50000.0
2024,Sullivan,2,27000000.0,25000000.0,2000000.0
2024,Tata,4,26450000.0,18600000.0,100000.0
2024,"Williams, W.M.",6,25950000.0,12000000.0,50000.0
2024,Kilgore,9,23979271.0,10000000.0,300000.0
2024,Taylor,6,23488356.0,20956690.0,25000.0
2024,Peake,4,22959492.0,17684492.0,75000.0
2024,Craig,3,22925000.0,15000000.0,425000.0
2024,Griffin,6,21345877.0,20956690.0,20828.0
2024,Diggs,6,21154895.0,16741645.0,50000.0
2024,Stuart,19,20547899.0,11046259.0,50000.0
2024,Cole J.,6,16743251.0,15700000.0,12000.0
2024,Austin,9,16640117.0,14030278.0,50000.0
2024,Wiley,1,15700000.0,15700000.0,15700000.0
2024,Sewell,6,14085006.0,5035006.0,50000.0
2024,Walker,7,12783780.0,11272270.0,50000.0
2024,Wyatt,4,12372270.0,11272270.0,250000.0
2024,Laufer,13,12227000.0,7000000.0,30000.0
2024,Bagby,13,12140000.0,3300000.0,145000.0
2024,Wachsmann,4,11960313.0,11740313.0,20000.0
2024,Thomas,8,11709375.0,5000000.0,50000.0
2024,DeSteph,6,11215000.0,10000000.0,25000.0
2024,Kent,10,9800000.0,4000000.0,50000.0
2024,Askew,9,8550000.0,3000000.0,50000.0
2024,Pekarsky,6,7613000.0,3500000.0,15000.0
2024,Srinivasan,10,7141911.0,5624708.0,5000.0
2024,Shin,6,7123000.0,5000000.0,50000.0
2024,O'Quinn,3,6070000.0,5800000.0,120000.0
2024,Reeves,9,5950119.0,3500000.0,50000.0
2024,"Campbell, E.H.",3,5379386.0,5232386.0,73500.0
2024,Ballard,9,5328037.0,1404304.0,50000.0
2024,Green,9,4804672.0,3428250.0,50000.0
2024,Stanley,6,4782813.0,3101809.0,100000.0
2024,McDougle,3,4100000.0,2500000.0,100000.0
2024,Phillips,2,3884813.0,3101809.0,783004.0
