id,stage,billNumber,sessionYear,chamber,patronName,patronLISId,legislatorId,districtCode,itemNumber,subItem,agencyCode,agencyName,secretariatCode,spendingCategoryId,fiscalYear,deltaGF,deltaNGF,netAmount,isIncrease,isLanguageOnly,descriptionShort,descriptionFull,primaryRecipientName,recipientRawText,recipientConfidence,sourcePdfPath,sourcePage,sourceLineHint,createdAt,updatedAt
HB1600-2025-member-1-001,member_request,HB1600,2025,House,Reid,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,50000.0,0.0,50000.0,True,False,"This amendment provides $50,000 the second year from the general fund to support
costs associated with House Bill 1739, which establishes a ","This amendment provides $50,000 the second year from the general fund to support
costs associated with House Bill 1739, which establishes a 16-member joint General
Assembly Military and Veterans Commission for the purpose of reviewing legislation
related to veterans, military service members, and their families. This is a placeholder
amendment until a final fiscal impact statement is available.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,1,Reid,2025-11-21T11:06:31.097602-05:00,
HB1600-2025-member-1-002,member_request,HB1600,2025,House,Coyner,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,25000.0,0.0,25000.0,True,False,"This amendment provides $25,000 the second year from the general fund to support the
costs to implement the provisions of House Bill 2285, w","This amendment provides $25,000 the second year from the general fund to support the
costs to implement the provisions of House Bill 2285, which directs the legislative
Autism Advisory Council to study and advise the General Assembly on the
establishment of an autism data dashboard for the purpose of promoting greater public
transparency and access to information and resources on autism spectrum disorders.
This amendment is a placeholder until the fiscal impact statement for the bill is
available.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,1,Coyner,2025-11-21T11:06:31.098543-05:00,
HB1600-2025-member-1-003,member_request,HB1600,2025,House,Krizek,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,25000.0,0.0,25000.0,True,False,"This amendment provides funding to continue the Cannabis Oversight Commission,
established by the 23rd enactment clause of Senate Bill 1406 ","This amendment provides funding to continue the Cannabis Oversight Commission,
established by the 23rd enactment clause of Senate Bill 1406 of the 2021 Acts of Assembly.
The amount provided herein is a placeholder until final costs are known.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,1,Krizek,2025-11-21T11:06:31.098789-05:00,
HB1600-2025-member-1-004,member_request,HB1600,2025,House,Sickles,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,150000.0,0.0,150000.0,True,False,"This amendment provides $150,000 general fund in fiscal year 2026 to provide a Northern
Virginia pay differential for legislative assistants","This amendment provides $150,000 general fund in fiscal year 2026 to provide a Northern
Virginia pay differential for legislative assistants living in Planning District 8.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,2,Sickles,2025-11-21T11:06:31.099079-05:00,
HB1600-2025-member-1-005,member_request,HB1600,2025,House,Hope,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,400000.0,0.0,400000.0,True,False,"This amendment provides $400,000 the second year from the general fund and two positions in
support of House Bill 1772, which changes the ex","This amendment provides $400,000 the second year from the general fund and two positions in
support of House Bill 1772, which changes the existing Autism Advisory Council into a
permanent, independently staffed commission in the legislative branch. The funding included in
this amendment would support an Executive Director and policy analyst position, as well as
overhead expenditures to support the council's transition into full-time. This amendment fulfills
2 Item Order
Request to Amend House Bill 1600, as Introduced
a recommendation of the Behavbioral Health Commission.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,2,Hope,2025-11-21T11:06:31.099408-05:00,
HB1600-2025-member-1-006,member_request,HB1600,2025,House,Cole J.,,,,1,,,General Assembly of Virginia Language,,legislative,,0.0,0.0,0.0,False,True,"This amendment directs the Joint Subcommittee on Elementary and Secondary Education
Funding to analyze the impact on the local composite ind","This amendment directs the Joint Subcommittee on Elementary and Secondary Education
Funding to analyze the impact on the local composite index from real estate tax exemptions for
disabled veterans or surviving spouses of an armed force servicemember who died in the line of
duty.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,3,Cole J.,2025-11-21T11:06:31.099763-05:00,
HB1600-2025-member-1-007,member_request,HB1600,2025,House,Milde,,,,1,,,General Assembly of Virginia Language,,legislative,,0.0,0.0,0.0,False,True,"This amendment directs the Joint Subcommittee on Elementary and Secondary Education
Funding to analyze the impact on the local composite ind","This amendment directs the Joint Subcommittee on Elementary and Secondary Education
Funding to analyze the impact on the local composite index from real estate tax exemptions for
disabled veterans or surviving spouses of an armed force servicemember who died in the line of
duty.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,3,Milde,2025-11-21T11:06:31.100112-05:00,
HB1600-2025-member-1-008,member_request,HB1600,2025,House,Convirs-Fowler,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,20000.0,0.0,20000.0,True,False,"This amendment provides $20,000 each year from the general fund to support costs associated
with House Joint Resolution 437, which reestabli","This amendment provides $20,000 each year from the general fund to support costs associated
with House Joint Resolution 437, which reestablishes the Joint Subcommittee on Recurrent
Flooding to continue its work through the 2026 interim. This is a placeholder amendment until
the final fiscal impacts are known.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,4,Convirs-Fowler,2025-11-21T11:06:31.100315-05:00,
HB1600-2025-member-1-009,member_request,HB1600,2025,House,Lopez,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,10000.0,0.0,10000.0,True,False,"This amendment provides $10,000 the second year from the general fund to support costs
associated with the workgroup and establishes a Joint","This amendment provides $10,000 the second year from the general fund to support costs
associated with the workgroup and establishes a Joint Subcommittee for State and Local
Government Shared Employment to review state supported local employees, evaluate efficacy
of current arrangements, and consider current funding levels by both the state and localities.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,4,Lopez,2025-11-21T11:06:31.100722-05:00,
HB1600-2025-member-9-010,member_request,HB1600,2025,House,Hayes,,,,9,,,Legislative Department FY24-25 FY25-26,,legislative,,324000.0,0.0,324000.0,True,False,"This amendment provides $324,000 the second year from the general fund and two positions to
support the workload of the Joint Commission on ","This amendment provides $324,000 the second year from the general fund and two positions to
support the workload of the Joint Commission on Technology and Science. These positions, a
Policy Advisor and Research Analyst, would enhance the Commission's ability to provide high-
quality research, draft policy proposals, and respond to legislative inquiries on complex and
emerging subject matters such as artificial intelligence, quantum computing, blockchain, and
biotechnology.",,,,Amendment Member Requests/HB1600/HB1600 Member Requests.pdf,5,Hayes,2025-11-21T11:06:31.100961-05:00,
