fiscal_year,secretariat,agency,program,service_area,appropriated_amount,total_spent_ytd,remaining_balance,execution_rate,number_of_unique_recipients,top_10_recipients,category_breakdown,match_type,match_score
2025,ADMINISTRATION,Compensation Board,Fin Asst-Circuit Court Clerks,FA-Circuit Court Clk Land Recd,73013961.0,17095747.63,55918213.370000005,0.23414354454759684,132,"[""Rockingham County VA Treasurer"", ""County of Albemarle"", ""Williamsburg James City Circuit Court"", ""CHESTERFIELD COUNTY"", ""Richmond County Board of Supervisors"", ""Hanover County Community Services"", ""Fauquier County"", ""SMYTH COUNTY"", ""Fluvanna County Virginia"", ""Bedford County""]","{""TRANSFER PAYMENTS"": 1723}",fuzzy,0.8913043478260869
2025,ADMINISTRATION,Compensation Board,Fin Asst-Circuit Court Clerks,Fin Asst-Circuit Court Clerks,73013961.0,16172984.85,56840976.15,0.22150537552674343,128,"[""Pittsylvania County Board of Supervisors"", ""Shenandoah County"", ""COUNTY OF MATHEWS"", ""SURRY COUNTY"", ""GREENE COUNTY"", ""City of Petersburg"", ""Rappahannock County Sheriffs Office"", ""New Kent County Board of Supervisors"", ""Scott County Board of Supervisors"", ""County of Louisa""]","{""TRANSFER PAYMENTS"": 1279}",fuzzy,0.8913043478260869
2025,ADMINISTRATION,Compensation Board,Fin Asst-Circuit Court Clerks,Fin Asst-Op Circuit Court Clk,73013961.0,31703376.14,41310584.86,0.4342097827016945,129,"[""Shenandoah County"", ""City of Buena Vista"", ""County of Northampton"", ""Mecklenburg County"", ""Giles County Board of Supervisors"", ""Rappahannock County Sheriffs Office"", ""CHESTERFIELD COUNTY"", ""Franklin County Board of Supervisors"", ""Richmond County Board of Supervisors"", ""Westmoreland County""]","{""TRANSFER PAYMENTS"": 1280}",fuzzy,0.8913043478260869
2025,ADMINISTRATION,Compensation Board,Fin Asst-Local Finance Directr,Fin Asst-Local Finance Directr,6930692.0,727520.55,6203171.45,0.10497083840978651,9,"[""City of Richmond"", ""County of Albemarle"", ""Prince William County"", ""Director of Finance Cty of Fairfax VA"", ""Henrico County Public Schools"", ""City of Alexandria"", ""City of Alexandria Office of Historic"", ""County of Henrico"", ""HENRICO COUNTY""]","{""TRANSFER PAYMENTS"": 60}",fuzzy,0.8888888888888888
2025,ADMINISTRATION,Compensation Board,Fin Asst-Local Finance Directr,Fin Asst-Oper Locl Dir Finance,6930692.0,5138144.46,1792547.54,0.7413609578956907,9,"[""Prince William County"", ""City of Richmond"", ""County of Albemarle"", ""Director of Finance Cty of Fairfax VA"", ""Henrico County Public Schools"", ""City of Alexandria"", ""City of Alexandria Office of Historic"", ""County of Henrico"", ""HENRICO COUNTY""]","{""TRANSFER PAYMENTS"": 60}",fuzzy,0.8888888888888888
2025,ADMINISTRATION,Compensation Board,Fin Asst-Local Treasurers,FA-St Tx Svcs Local Treasurers,27395833.0,505667.29,26890165.71,0.018457817654239605,129,"[""City of Lexington"", ""Board of Supervisors of Amelia County"", ""City of Waynesboro"", ""Giles County Board of Supervisors"", ""Rappahannock County Sheriffs Office"", ""Board of Supervisors of Page County"", ""Nelson County Board Of Supervisors"", ""CHESTERFIELD COUNTY"", ""County of Bath"", ""City of Harrisonburg VA""]","{""TRANSFER PAYMENTS"": 1188}",fuzzy,0.880952380952381
2025,ADMINISTRATION,Compensation Board,Fin Asst-Local Treasurers,Fin Asst-Local Treasurers,27395833.0,10908709.9,16487123.1,0.3981886551870863,134,"[""City of Lexington"", ""Montgomery County"", ""Lee County"", ""County of Greensville"", ""City of Poquoson"", ""Wythe County Board of Supervisors"", ""City of Portsmouth"", ""LYNCHBURG CITY"", ""Campbell County"", ""PATRICK COUNTY BOARD OF SUPERVISORS""]","{""TRANSFER PAYMENTS"": 1252}",fuzzy,0.880952380952381
2025,ADMINISTRATION,Compensation Board,Fin Asst-Local Treasurers,Fin Asst-Op Local Treasurers,27395833.0,11438797.86,15957035.14,0.4175378737343011,136,"[""Bland County Board of Supervisors"", ""Southampton County"", ""City of Lexington"", ""Accomack County"", ""City of Danville"", ""City of Martinsville VA"", ""City of Buena Vista"", ""Buchanan County Virginia"", ""City of Winchester"", ""City of Charlottesville""]","{""TRANSFER PAYMENTS"": 1256}",fuzzy,0.880952380952381
2025,ADMINISTRATION,,,Accounting and Budgeting Svcs,1989547.0,473719.91000000003,1515827.0899999999,0.23810440768677493,7,"[""nan"", ""Bank of America"", ""MISCELLANEOUS ADJUSTMENT"", ""Virginia Information Technologies Agency"", ""Commonwealth of Virginia"", ""Virginia Employment Commission"", ""Department of General Services""]","{""PERSONAL SERVICES"": 205, ""CONTRACTUAL SERVICES"": 49, ""SUPPLIES AND MATERIALS"": 16, ""CONTINUOUS CHARGES"": 12, ""EQUIPMENT"": 4, ""TRANSFER PAYMENTS"": 2}",strict,1.0
2025,ADMINISTRATION,,,Administrative Services,22956957.0,7146979.16,15809977.84,0.31132084099822116,81,"[""nan"", ""MISCELLANEOUS ADJUSTMENT"", ""Computer Aid Inc"", ""Department of General Services"", ""Virginia Information Technologies Agency"", ""Muse GME Enterprises LLC"", ""Bank of America"", ""ThunderCat Technology LLC"", ""Commonwealth of Virginia State Police"", ""Commonwealth of Virginia""]","{""PERSONAL SERVICES"": 289, ""CONTRACTUAL SERVICES"": 243, ""CONTINUOUS CHARGES"": 68, ""TRANSFER PAYMENTS"": 47, ""SUPPLIES AND MATERIALS"": 33, ""EQUIPMENT"": 19}",strict,1.0
